Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.01      0.01     0.01    26271     0.00     0.00  float std::exponential_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::exponential_distribution<float>::param_type const&)
  0.00      0.01     0.00   518213     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::size() const
  0.00      0.01     0.00   448300     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::operator[](unsigned long)
  0.00      0.01     0.00   435076     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::operator[](unsigned long)
  0.00      0.01     0.00   347528     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::size() const
  0.00      0.01     0.00   181434     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      0.01     0.00   117325     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::operator()()
  0.00      0.01     0.00   117325     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 16807ul, 0ul, false>::__calc(unsigned long)
  0.00      0.01     0.00   117325     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>(unsigned long)
  0.00      0.01     0.00    90717     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      0.01     0.00    90717     0.00     0.00  std::uniform_int_distribution<int>::param() const
  0.00      0.01     0.00    90717     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
