Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.02     0.02   230357     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::uniform_int_distribution<int>::param_type const&)
 25.00      0.03     0.01    53571     0.00     0.00  std::move_iterator<Interest**> std::make_move_iterator<Interest**>(Interest** const&)
 25.00      0.04     0.01    26419     0.00     0.00  __gnu_cxx::new_allocator<Course*>::construct(Course**, Course* const&)
  0.00      0.04     0.00   543642     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::operator[](unsigned long)
  0.00      0.04     0.00   459906     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      0.04     0.00   432799     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::size() const
  0.00      0.04     0.00   303043     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::size() const
  0.00      0.04     0.00   286778     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::operator[](unsigned long)
  0.00      0.04     0.00   256819     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::operator()()
  0.00      0.04     0.00   256788     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 16807ul, 0ul, false>::__calc(unsigned long)
  0.00      0.04     0.00   256690     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>(unsigned long)
  0.00      0.04     0.00   237117     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::size() const
  0.00      0.04     0.00   229990     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.04     0.00   229600     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      0.04     0.00   229588     0.00     0.00  std::uniform_int_distribution<int>::param() const
  0.00      0.04     0.00   198033     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.04     0.00   141968     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::operator[](unsigned long)
  0.00      0.04     0.00   111220     0.00     0.00  std::setw(int)
  0.00      0.04     0.00    99180     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.04     0.00    99179     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.04     0.00    99028     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.04     0.00    98817     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00      0.04     0.00    98614     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
