Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 96.57      0.28     0.28        1   280.05   280.05  Algorithms::FloydWarshall()
  3.45      0.29     0.01    30180     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::base() const
  0.00      0.29     0.00    30344     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::operator[](unsigned long)
  0.00      0.29     0.00    27065     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::__normal_iterator(GraphNode** const&)
  0.00      0.29     0.00    17401     0.00     0.00  std::_Iter_base<GraphNode**, false>::_S_base(GraphNode**)
  0.00      0.29     0.00    13964     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::size() const
  0.00      0.29     0.00    13168     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::end()
  0.00      0.29     0.00    11080     0.00     0.00  std::_Rb_tree_const_iterator<GraphNode*>::operator*() const
  0.00      0.29     0.00    11064     0.00     0.00  bool __gnu_cxx::operator!=<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&)
  0.00      0.29     0.00    10441     0.00     0.00  std::_Niter_base<GraphNode**>::iterator_type std::__niter_base<GraphNode**>(GraphNode**)
  0.00      0.29     0.00    10350     0.00     0.00  caseInsensitiveStringCompare(std::string const&, std::string const&)
  0.00      0.29     0.00    10349     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::operator*() const
  0.00      0.29     0.00    10318     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::operator++(int)
  0.00      0.29     0.00     7715     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::construct(GraphNode**, GraphNode* const&)
  0.00      0.29     0.00     7715     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.29     0.00     6960     0.00     0.00  std::_Miter_base<GraphNode**>::iterator_type std::__miter_base<GraphNode**>(GraphNode**)
  0.00      0.29     0.00     6201     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::push_back(GraphNode* const&)
  0.00      0.29     0.00     5589     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_get_Tp_allocator()
  0.00      0.29     0.00     5221     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::max_size() const
  0.00      0.29     0.00     3894     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_get_Node_allocator() const
  0.00      0.29     0.00     3845     0.00     0.00  GraphNode** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<GraphNode*>(GraphNode* const*, GraphNode* const*, GraphNode**)
  0.00      0.29     0.00     3844     0.00     0.00  GraphNode** std::__copy_move_a<false, GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.29     0.00     3480     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_get_Tp_allocator() const
  0.00      0.29     0.00     3480     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::max_size() const
  0.00      0.29     0.00     3480     0.00     0.00  GraphNode** std::__uninitialized_copy<true>::__uninit_copy<GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.29     0.00     3480     0.00     0.00  GraphNode** std::__copy_move_a2<false, GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.29     0.00     3480     0.00     0.00  GraphNode** std::uninitialized_copy<GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.29     0.00     3480     0.00     0.00  GraphNode** std::__uninitialized_copy_a<GraphNode**, GraphNode**, GraphNode*>(GraphNode**, GraphNode**, GraphNode**, std::allocator<GraphNode*>&)
  0.00      0.29     0.00     3480     0.00     0.00  GraphNode** std::__uninitialized_move_a<GraphNode**, GraphNode**, std::allocator<GraphNode*> >(GraphNode**, GraphNode**, GraphNode**, std::allocator<GraphNode*>&)
  0.00      0.29     0.00     3480     0.00     0.00  GraphNode** std::copy<GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.29     0.00     3395     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::new_allocator()
  0.00      0.29     0.00     3395     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::~new_allocator()
  0.00      0.29     0.00     3395     0.00     0.00  std::allocator<GraphNode*>::~allocator()
  0.00      0.29     0.00     3295     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
