Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.34      0.01     0.01   145446     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 16807ul, 0ul, false>::__calc(unsigned long)
 33.34      0.02     0.01      248     0.04     0.04  __gnu_cxx::new_allocator<Course*>::new_allocator()
 33.34      0.03     0.01        1    10.00    19.31  Generator::generateFriends(void*)
  0.00      0.03     0.00   716108     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::size() const
  0.00      0.03     0.00   612125     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::operator[](unsigned long)
  0.00      0.03     0.00   560644     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::operator[](unsigned long)
  0.00      0.03     0.00   433046     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::size() const
  0.00      0.03     0.00   224306     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      0.03     0.00   145446     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::operator()()
  0.00      0.03     0.00   145446     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>(unsigned long)
  0.00      0.03     0.00   113825     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::size() const
  0.00      0.03     0.00   112153     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      0.03     0.00   112153     0.00     0.00  std::uniform_int_distribution<int>::param() const
  0.00      0.03     0.00   112153     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.03     0.00   112153     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      0.03     0.00    98164     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.03     0.00    78499     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::operator[](unsigned long)
  0.00      0.03     0.00    67936     0.00     0.00  std::setw(int)
  0.00      0.03     0.00    65774     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::min()
  0.00      0.03     0.00    65774     0.00     0.00  std::log(long double)
  0.00      0.03     0.00    49082     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.03     0.00    49082     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.03     0.00    49082     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00      0.03     0.00    49082     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.03     0.00    49082     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.03     0.00    35846     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.03     0.00    32894     0.00     0.00  sendRequest(Request)
  0.00      0.03     0.00    32894     0.00     0.00  recieveWakeUpCall(long)
  0.00      0.03     0.00    32887     0.00     0.00  std::exponential_distribution<float>::param_type::lambda() const
  0.00      0.03     0.00    32887     0.00     0.00  std::exponential_distribution<float>::param() const
  0.00      0.03     0.00    32887     0.00     0.00  std::exponential_distribution<float>::param_type::param_type(float)
  0.00      0.03     0.00    32887     0.00     0.00  std::exponential_distribution<float>::exponential_distribution(float const&)
  0.00      0.03     0.00    32887     0.00     0.00  float std::exponential_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.03     0.00    32887     0.00     0.00  float std::exponential_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::exponential_distribution<float>::param_type const&)
  0.00      0.03     0.00    32887     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::max()
  0.00      0.03     0.00    32887     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::_Adaptor(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.03     0.00    32887     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::operator()()
  0.00      0.03     0.00    32887     0.00     0.00  float std::generate_canonical<float, 24ul, std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.03     0.00    32887     0.00     0.00  std::log(float)
  0.00      0.03     0.00    32887     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.03     0.00     8816     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.03     0.00     7452     0.00     0.00  std::_Iter_base<GraphNode**, false>::_S_base(GraphNode**)
  0.00      0.03     0.00     7452     0.00     0.00  std::_Niter_base<GraphNode**>::iterator_type std::__niter_base<GraphNode**>(GraphNode**)
  0.00      0.03     0.00     6498     0.00     0.00  std::_Iter_base<Interest**, false>::_S_base(Interest**)
  0.00      0.03     0.00     6498     0.00     0.00  std::_Niter_base<Interest**>::iterator_type std::__niter_base<Interest**>(Interest**)
  0.00      0.03     0.00     6229     0.00     0.00  std::vector<Interest, std::allocator<Interest> >::size() const
  0.00      0.03     0.00     6179     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::base() const
  0.00      0.03     0.00     5905     0.00     0.00  std::vector<Interest, std::allocator<Interest> >::operator[](unsigned long)
  0.00      0.03     0.00     4960     0.00     0.00  std::move_iterator<GraphNode**>::base() const
