Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 38.10      0.08     0.08        1    80.01   183.28  Generator::generateFriends(void*)
 14.29      0.11     0.03   586720     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::uniform_int_distribution<int>::param_type const&)
  4.76      0.12     0.01  6589149     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::operator[](unsigned long)
  4.76      0.13     0.01  6536282     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::size() const
  4.76      0.14     0.01   851522     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::size() const
  4.76      0.15     0.01   763474     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 16807ul, 0ul, false>::__calc(unsigned long)
  4.76      0.16     0.01   763473     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::operator()()
  4.76      0.17     0.01   763398     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>(unsigned long)
  4.76      0.18     0.01   749442     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::operator[](unsigned long)
  4.76      0.19     0.01    18797     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::push_back(GraphNode* const&)
  4.76      0.20     0.01      660     0.02     0.02  std::_Vector_base<Course*, std::allocator<Course*> >::_Vector_base()
  4.76      0.21     0.01        1    10.00    21.35  Generator::generateStudent(void*)
  0.00      0.21     0.00  2947498     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::operator[](unsigned long)
  0.00      0.21     0.00  2267611     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::size() const
  0.00      0.21     0.00  1173317     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      0.21     0.00   586681     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.21     0.00   586654     0.00     0.00  std::uniform_int_distribution<int>::param() const
  0.00      0.21     0.00   586609     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      0.21     0.00   546869     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.21     0.00   380169     0.00     0.00  std::setw(int)
  0.00      0.21     0.00   349546     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::min()
  0.00      0.21     0.00   349545     0.00     0.00  std::log(long double)
  0.00      0.21     0.00   273464     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.21     0.00   273460     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.21     0.00   273433     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00      0.21     0.00   273416     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.21     0.00   273369     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.21     0.00   183457     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.21     0.00   175065     0.00     0.00  recieveWakeUpCall(long)
  0.00      0.21     0.00   175057     0.00     0.00  sendRequest(Request)
  0.00      0.21     0.00   174791     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::operator()()
  0.00      0.21     0.00   174790     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.21     0.00   174788     0.00     0.00  float std::generate_canonical<float, 24ul, std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.21     0.00   174784     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::max()
  0.00      0.21     0.00   174783     0.00     0.00  std::exponential_distribution<float>::param_type::param_type(float)
  0.00      0.21     0.00   174783     0.00     0.00  std::log(float)
  0.00      0.21     0.00   174782     0.00     0.00  std::exponential_distribution<float>::param() const
  0.00      0.21     0.00   174782     0.00     0.00  float std::exponential_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.21     0.00   174779     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::_Adaptor(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.21     0.00   174774     0.00     0.00  std::exponential_distribution<float>::param_type::lambda() const
  0.00      0.21     0.00   174774     0.00     0.00  float std::exponential_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::exponential_distribution<float>::param_type const&)
  0.00      0.21     0.00   174769     0.00     0.00  std::exponential_distribution<float>::exponential_distribution(float const&)
  0.00      0.21     0.00    51643     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::__normal_iterator(GraphNode** const&)
